Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-298.4224	-381.8946	83.47215	1.025604	0.09873194	2.584557
6	-296.1526	-381.8608	85.70825	1.306815	0.04918277	0.9326658
12	-304.7546	-389.6651	84.91046	1.269718	0.1112071	1.41684
18	-300.6026	-385.2699	84.66737	0.9081749	0.0861184	1.926301
24	-289.8004	-374.2561	84.45568	1.117545	0.06317122	2.000255
30	-290.3937	-374.6106	84.21685	0.9759679	0.2251562	1.855154
36	-289.1503	-373.0355	83.8852	0.9555811	0.05734746	2.490457
42	-296.3578	-381.2945	84.93662	2.208156	0.06893942	0.4195255
48	-288.2292	-373.0569	84.82766	2.279863	0.06489501	0.3340968
54	-286.5729	-371.0152	84.44233	2.513293	0.05759828	0.2206951
60	-291.255	-375.7325	84.47744	2.389503	0.07592603	0.2206951
66	-293.0954	-377.921	84.82562	2.118878	0.09555879	0.3139282
72	-291.1187	-375.7933	84.67456	1.500388	0.06659372	1.569936
78	-287.556	-372.312	84.75604	1.550442	0.04009879	1.569936
84	-294.036	-379.2369	85.20087	1.428943	0.07462718	1.180958
90	-291.9699	-376.227	84.25702	2.585524	0.06472279	0.1932298
96	-291.6672	-375.7401	84.07293	2.585524	0.09782591	0.1834432
102	-286.8002	-370.7569	83.95676	2.585524	0.1294744	0.1866916
108	-288.389	-373.2832	84.89424	2.304593	0.05644415	0.4028456
114	-289.0969	-373.8799	84.78299	2.304593	0.05644415	0.2844166
120	-285.9487	-370.5403	84.59159	2.201025	0.1543845	0.4103544
126	-279.4177	-364.7535	85.33581	1.256084	0.08463937	1.173774
132	-280.4147	-365.5891	85.17444	1.561945	0.05017226	1.192332
138	-282.2098	-367.3534	85.14367	1.291313	0.03129991	1.504993
144	-282.9831	-368.1695	85.18636	1.755778	0.02808225	1.102212
150	-288.7071	-374.0008	85.29371	1.488234	0.06789218	1.073022
156	-289.1133	-374.4932	85.37991	1.488234	0.1079872	0.7827378
162	-286.8192	-372.4894	85.67017	1.488234	0.04733393	0.7694536
168	-287.9952	-373.7794	85.78424	1.342642	0.0651132	0.6770196
174	-287.7301	-372.99	85.25988	1.773479	0.09456792	0.4368268
180	-286.6034	-371.9862	85.38277	1.852813	0.04639593	0.6449914
186	-285.978	-371.2785	85.30043	1.264084	0.07961788	1.217023
192	-292.289	-377.4578	85.1688	1.649423	0.02944068	1.206858
198	-282.9267	-368.3265	85.39986	1.287832	0.05651234	1.206858
204	-285.9026	-371.4781	85.57552	1.287832	0.02565001	1.180046
210	-288.9341	-373.5347	84.60066	1.181522	0.1754526	1.542546
216	-290.4714	-376.0709	85.59951	1.644457	0.04707	0.6166308
222	-289.9551	-375.2746	85.31949	1.961988	0.04425938	0.4917106
228	-292.6482	-377.6945	85.04636	2.146479	0.05593559	0.3868299
234	-293.303	-378.7376	85.43462	1.056734	0.03553383	1.447997
240	-287.3627	-372.8636	85.50092	1.274541	0.06221439	1.104586
246	-290.3399	-375.6787	85.33878	1.686744	0.06895237	0.8049591
252	-290.1488	-375.5572	85.40843	1.23957	0.05945558	1.228127
258	-287.5712	-372.2202	84.64904	1.120769	0.06601829	1.858184
264	-296.3219	-380.8033	84.4814	1.452738	0.06601829	1.744436
270	-295.1009	-380.5058	85.40484	1.604493	0.02638074	1.045109
276	-295.9996	-381.347	85.34741	1.520335	0.02638074	1.174089
282	-291.3784	-376.4578	85.07936	1.755573	0.02638074	1.202419
288	-293.5376	-378.5832	85.04557	1.755573	0.147092	0.6447976
294	-302.8627	-388.1701	85.30735	1.295951	0.06575057	1.239741
300	-294.4468	-379.9813	85.53454	1.439373	0.07382293	0.8411466
306	-289.8675	-375.3688	85.50137	1.233403	0.1103648	0.9316332
312	-289.908	-375.2832	85.37527	1.521206	0.1036135	0.7683674
318	-294.4298	-379.4091	84.97928	1.989408	0.1114828	0.5360152
324	-298.1954	-383.1277	84.93228	2.03232	0.1036034	0.3730483
330	-297.8193	-382.9599	85.14064	1.591987	0.1045337	0.9593801
336	-298.1265	-383.3923	85.26581	1.630053	0.06818633	0.9593801
